configuration_path,shape_and_values,optional,constraints,source
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:0}.package_name,"{""anyOf"":[{""type"":""string""},{""items"":{""type"":""string""},""type"":""array""}]}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/rule_dns.go#L96
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:0}.port,"{""anyOf"":[{""maximum"":65535,""minimum"":0,""type"":""integer""},{""items"":{""maximum"":65535,""minimum"":0,""type"":""integer""},""type"":""array""}]}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/rule_dns.go#L91
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:0}.port_range,"{""anyOf"":[{""type"":""string""},{""items"":{""type"":""string""},""type"":""array""}]}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/rule_dns.go#L92
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:0}.process_name,"{""anyOf"":[{""type"":""string""},{""items"":{""type"":""string""},""type"":""array""}]}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/rule_dns.go#L93
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:0}.process_path,"{""anyOf"":[{""type"":""string""},{""items"":{""type"":""string""},""type"":""array""}]}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/rule_dns.go#L94
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:0}.process_path_regex,"{""anyOf"":[{""type"":""string""},{""items"":{""type"":""string""},""type"":""array""}]}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/rule_dns.go#L95
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:0}.protocol,"{""anyOf"":[{""type"":""string""},{""items"":{""type"":""string""},""type"":""array""}]}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/rule_dns.go#L76
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:0}.query_type,"{""anyOf"":[{""$ref"":""#/$defs/DNSQueryType""},{""items"":{""$ref"":""#/$defs/DNSQueryType""},""type"":""array""}]}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/rule_dns.go#L73
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:0}.rule_set,"{""anyOf"":[{""type"":""string""},{""items"":{""type"":""string""},""type"":""array""}]}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/rule_dns.go#L109
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:0}.rule_set_ip_cidr_accept_empty,"{""type"":""boolean""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/rule_dns.go#L111
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:0}.rule_set_ip_cidr_match_source,"{""type"":""boolean""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/rule_dns.go#L110
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:0}.source_ip_cidr,"{""anyOf"":[{""type"":""string""},{""items"":{""type"":""string""},""type"":""array""}]}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/rule_dns.go#L87
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:0}.source_ip_is_private,"{""type"":""boolean""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/rule_dns.go#L88
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:0}.source_port,"{""anyOf"":[{""maximum"":65535,""minimum"":0,""type"":""integer""},{""items"":{""maximum"":65535,""minimum"":0,""type"":""integer""},""type"":""array""}]}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/rule_dns.go#L89
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:0}.source_port_range,"{""anyOf"":[{""type"":""string""},{""items"":{""type"":""string""},""type"":""array""}]}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/rule_dns.go#L90
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:0}.type,"{""enum"":["""",""default""]}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/dns.go#L23
